=== RUN   TestWriteThroughPut
2025-02-28T20:51:58.664Z	info	/mydata/VictoriaMetrics-sketches/lib/memory/memory.go:42	limiting caches to 242618914406 bytes, leaving 161745942938 bytes to the OS according to -memory.allowedPercent=60
Threads: 64 ; Each thread handles 157 timeseries.
2025-02-28T20:52:05.269Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:199	creating a partition "1970_01" with smallPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/small/1970_01", bigPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/big/1970_01"
2025-02-28T20:52:05.310Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:208	partition "1970_01" has been created
throughput: 10100 1.0689806954998737e+06
throughput: 10200 1.0682846047841944e+06
throughput: 10300 1.06870266069903e+06
throughput: 10400 1.0683880986456505e+06
throughput: 10500 1.0686900477585243e+06
throughput: 10600 1.068179765567989e+06
throughput: 10700 1.0686436658498752e+06
throughput: 10800 1.0685828159514044e+06
throughput: 10900 1.0691003637697804e+06
throughput: 11000 1.0689922011112121e+06
throughput: 11100 1.0693805913997919e+06
throughput: 11200 1.069419613956365e+06
throughput: 11300 1.0697747986546173e+06
throughput: 11400 1.069460216810269e+06
throughput: 11500 1.0699044761901482e+06
throughput: 11600 1.0695447595304758e+06
throughput: 11700 1.0698105468348481e+06
throughput: 11800 1.069583364622403e+06
throughput: 11900 1.069785707182185e+06
throughput: 12000 1.0695283300712456e+06
throughput: 12100 1.06978426376e+06
throughput: 12200 1.069770136679602e+06
throughput: 12300 1.069887811215971e+06
throughput: 12400 1.0701772412954096e+06
throughput: 12500 1.0698531281189765e+06
throughput: 12600 1.0700334267877843e+06
throughput: 12700 1.0699621212806446e+06
throughput: 12800 1.0702278577814614e+06
throughput: 12900 1.0700200006478343e+06
throughput: 13000 1.0701626581880467e+06
throughput: 13100 1.0698452783277812e+06
throughput: 13200 1.0699881082414647e+06
throughput: 13300 1.06975458122299e+06
throughput: 13400 1.0699119539793525e+06
throughput: 13500 1.069565781013012e+06
throughput: 13600 1.069704164606823e+06
throughput: 13700 1.0691560435017191e+06
throughput: 13800 1.069210495979903e+06
throughput: 13900 1.0690886061500374e+06
throughput: 14000 1.0692328761403267e+06
throughput: 14100 1.0695039243885444e+06
throughput: 14200 1.0692606016027043e+06
throughput: 14300 1.0688552208569031e+06
throughput: 14400 1.0687338967456443e+06
throughput: 14500 1.0689857994354041e+06
throughput: 14600 1.0686841208923962e+06
throughput: 14700 1.0688543175061834e+06
throughput: 14800 1.0687891510837113e+06
throughput: 14900 1.0690363058305294e+06
throughput: 15000 1.0692164930863597e+06
throughput: 15100 1.0690663020785311e+06
throughput: 15200 1.0692401106789284e+06
throughput: 15300 1.0687913923146615e+06
throughput: 15400 1.0689738665981507e+06
throughput: 15500 1.068724169732195e+06
throughput: 15600 1.0688475022262249e+06
throughput: 15700 1.069002114970198e+06
throughput: 15800 1.0685763357036533e+06
throughput: 15900 1.0687912519492889e+06
throughput: 16000 1.0686447555479123e+06
throughput: 16100 1.0688267817578346e+06
throughput: 16200 1.0686112501720153e+06
throughput: 16300 1.0687388626594825e+06
throughput: 16400 1.0686774426182876e+06
throughput: 16500 1.0688591118023528e+06
throughput: 16600 1.0689266391834533e+06
throughput: 16700 1.068770667372104e+06
throughput: 16800 1.068900962889392e+06
throughput: 16900 1.0687894673362083e+06
throughput: 17000 1.0688682690180468e+06
throughput: 17100 1.069029015490923e+06
throughput: 17200 1.0685974018438978e+06
throughput: 17300 1.0687793638468268e+06
throughput: 17400 1.0686118002118184e+06
throughput: 17500 1.0688162227352306e+06
throughput: 17600 1.0685328975270726e+06
throughput: 17700 1.0686215693460733e+06
throughput: 17800 1.0685967803811412e+06
throughput: 17900 1.068440902585097e+06
throughput: 18000 1.0683404298936077e+06
throughput: 18100 1.0678738936253807e+06
throughput: 18200 1.0679905604396537e+06
throughput: 18300 1.0681458207449056e+06
throughput: 18400 1.0674307777301448e+06
throughput: 18500 1.0675578794736066e+06
throughput: 18600 1.0673766157389819e+06
throughput: 18700 1.0674141828691245e+06
throughput: 18800 1.0673458217391104e+06
throughput: 18900 1.0669729656223673e+06
throughput: 19000 1.0671045916236823e+06
throughput: 19100 1.0669404792650228e+06
throughput: 19200 1.0669855569430278e+06
throughput: 19300 1.0668249074399446e+06
throughput: 19400 1.06633046916086e+06
throughput: 19500 1.066414071958572e+06
throughput: 19600 1.0661542729086748e+06
throughput: 19700 1.066263469714938e+06
throughput: 19800 1.0663176097026167e+06
throughput: 19900 1.0659376469811678e+06
throughput: 20000 1.0658841422273167e+06
throughput: 20100 1.0656763185235215e+06
throughput: 20200 1.0658031665302217e+06
throughput: 20300 1.065886179384044e+06
throughput: 20400 1.0656002343562015e+06
throughput: 20500 1.065550109720123e+06
throughput: 20600 1.0653832381984838e+06
throughput: 20700 1.0654209396077306e+06
throughput: 20800 1.065584132954811e+06
throughput: 20900 1.0653299711969858e+06
throughput: 21000 1.0654113786294933e+06
throughput: 21100 1.0655104392529712e+06
throughput: 21200 1.0653798268187528e+06
throughput: 21300 1.0655949835598662e+06
throughput: 21400 1.0651373602664433e+06
throughput: 21500 1.0651255095469046e+06
throughput: 21600 1.0652393807913836e+06
throughput: 21700 1.0650943230158722e+06
throughput: 21800 1.0652297678263453e+06
throughput: 21900 1.0650058137290853e+06
throughput: 22000 1.0651411253221047e+06
throughput: 22100 1.0653102555684338e+06
throughput: 22200 1.0652156128771417e+06
throughput: 22300 1.0652950741583067e+06
throughput: 22400 1.0654597275655735e+06
throughput: 22500 1.065222407423139e+06
throughput: 22600 1.0651575200199476e+06
throughput: 22700 1.0651237907509187e+06
throughput: 22800 1.065060139942988e+06
throughput: 22900 1.0651708981420614e+06
throughput: 23000 1.0648760158702643e+06
throughput: 23100 1.0647956361595662e+06
throughput: 23200 1.0649458297841996e+06
throughput: 23300 1.0647758104853167e+06
throughput: 23400 1.064803002630799e+06
throughput: 23500 1.0648712348778849e+06
throughput: 23600 1.0645889110750789e+06
throughput: 23700 1.0645266842958082e+06
throughput: 23800 1.0645321035422422e+06
throughput: 23900 1.0645384622473582e+06
throughput: 24000 1.0645494827350373e+06
throughput: 24100 1.0643725175278073e+06
throughput: 24200 1.0643198935730227e+06
throughput: 24300 1.0644039716635242e+06
throughput: 24400 1.0642032588689593e+06
throughput: 24500 1.0641260804861344e+06
throughput: 24600 1.0642131541315832e+06
throughput: 24700 1.0640794937993495e+06
throughput: 24800 1.063992811234321e+06
throughput: 24900 1.064122471864895e+06
throughput: 25000 1.0637399308038072e+06
throughput: 25100 1.0638039207617713e+06
throughput: 25200 1.0637268370473788e+06
throughput: 25300 1.0637009117870186e+06
throughput: 25400 1.0635950008517636e+06
throughput: 25500 1.0633451093543405e+06
throughput: 25600 1.0634177469412307e+06
throughput: 25700 1.0635240602060282e+06
throughput: 25800 1.06336828188368e+06
throughput: 25900 1.0633309778021993e+06
throughput: 26000 1.0633472110356446e+06
throughput: 26100 1.0630913348903356e+06
throughput: 26200 1.0631560816742887e+06
throughput: 26300 1.063248305446238e+06
throughput: 26400 1.0630586447918424e+06
throughput: 26500 1.0629147610358144e+06
throughput: 26600 1.0630224378635732e+06
throughput: 26700 1.062937626941686e+06
throughput: 26800 1.0630344259191726e+06
throughput: 26900 1.0630782723060395e+06
throughput: 27000 1.062968155391255e+06
throughput: 27100 1.0624220736192975e+06
throughput: 27200 1.062588961545393e+06
throughput: 27300 1.0624409666752922e+06
throughput: 27400 1.0624772109864282e+06
throughput: 27500 1.0625572067693807e+06
throughput: 27600 1.0623985077986442e+06
throughput: 27700 1.0623742159700117e+06
throughput: 27800 1.0624918083921347e+06
throughput: 27900 1.0623088562551811e+06
throughput: 28000 1.0624125220637876e+06
throughput: 28100 1.0624931835752162e+06
throughput: 28200 1.0622747290603109e+06
throughput: 28300 1.062243833690148e+06
throughput: 28400 1.0623646448630881e+06
throughput: 28500 1.062197682675254e+06
throughput: 28600 1.062040820920634e+06
throughput: 28700 1.0621248745821074e+06
throughput: 28800 1.0618814374239554e+06
throughput: 28900 1.0619343742739358e+06
throughput: 29000 1.0620088547112937e+06
throughput: 29100 1.0617237019949069e+06
throughput: 29200 1.0618114860687652e+06
throughput: 29300 1.0619359876023007e+06
throughput: 29400 1.061809248153348e+06
throughput: 29500 1.061771932505143e+06
throughput: 29600 1.0618199515032284e+06
throughput: 29700 1.0616573813271974e+06
throughput: 29800 1.061692864286836e+06
throughput: 29900 1.0617800184422487e+06
throughput: 30000 1.0616649207674693e+06
throughput: 30100 1.0611027343641915e+06
throughput: 30200 1.0610545859555488e+06
throughput: 30300 1.0610734071242008e+06
throughput: 30400 1.061066510979342e+06
throughput: 30500 1.0611200308273318e+06
throughput: 30600 1.061185832124388e+06
throughput: 30700 1.0610842276096984e+06
throughput: 30800 1.061074602032941e+06
throughput: 30900 1.0611703719523654e+06
throughput: 31000 1.0610312704529304e+06
throughput: 31100 1.0611332720223526e+06
throughput: 31200 1.0612476478968887e+06
throughput: 31300 1.061047985813201e+06
throughput: 31400 1.0610535544659055e+06
throughput: 31500 1.0611834322232152e+06
throughput: 31600 1.0611931726284495e+06
throughput: 31700 1.0610486534052258e+06
throughput: 31800 1.0611490243531447e+06
throughput: 31900 1.0613040712837146e+06
throughput: 32000 1.0609263403754232e+06
throughput: 32100 1.060871768163485e+06
throughput: 32200 1.0609206329576897e+06
throughput: 32300 1.0606574503652363e+06
throughput: 32400 1.0607343792372437e+06
throughput: 32500 1.0608082973251496e+06
throughput: 32600 1.060603606866543e+06
throughput: 32700 1.059835984578655e+06
throughput: 32800 1.0598055178402767e+06
throughput: 32900 1.059858289235393e+06
throughput: 33000 1.059716389650528e+06
throughput: 33100 1.0598181811072319e+06
throughput: 33200 1.0599262621322754e+06
throughput: 33300 1.0597413891810023e+06
throughput: 33400 1.0597163699952892e+06
throughput: 33500 1.0598299374210886e+06
throughput: 33600 1.0597805322444867e+06
throughput: 33700 1.0594615848937856e+06
throughput: 33800 1.0594717489073838e+06
throughput: 33900 1.0596198900682318e+06
throughput: 34000 1.059402402141005e+06
throughput: 34100 1.0593526136257395e+06
throughput: 34200 1.0594072183470228e+06
throughput: 34300 1.0592751353215307e+06
throughput: 34400 1.0593433844424835e+06
throughput: 34500 1.059480359683157e+06
throughput: 34600 1.0595766167696868e+06
throughput: 34700 1.0587378538073145e+06
throughput: 34800 1.0586995257014728e+06
throughput: 34900 1.0587777588407309e+06
throughput: 35000 1.0585883172986843e+06
throughput: 35100 1.0586521492867277e+06
throughput: 35200 1.0587163338808585e+06
throughput: 35300 1.05846512085399e+06
throughput: 35400 1.0584026957882135e+06
throughput: 35500 1.0585200024922276e+06
throughput: 35600 1.058584919511777e+06
throughput: 35700 1.0584354746276147e+06
throughput: 35800 1.0580922904648148e+06
throughput: 35900 1.0581467448785426e+06
throughput: 36000 1.0579529796412354e+06
throughput: 36100 1.057929146891493e+06
throughput: 36200 1.058018364869495e+06
throughput: 36300 1.0579635883854162e+06
throughput: 36400 1.0577193809672412e+06
throughput: 36500 1.0577513441783856e+06
throughput: 36600 1.0578042083615994e+06
throughput: 36700 1.0576872171903683e+06
throughput: 36800 1.0571379809451513e+06
throughput: 36900 1.0572117904446938e+06
throughput: 37000 1.0570928349409418e+06
throughput: 37100 1.0571484680294774e+06
throughput: 37200 1.0572210613218031e+06
throughput: 37300 1.0573385983011755e+06
throughput: 37400 1.0571539181996377e+06
throughput: 37500 1.057168373786708e+06
throughput: 37600 1.0573018670237055e+06
throughput: 37700 1.0574234411453e+06
throughput: 37800 1.0571349110566047e+06
throughput: 37900 1.0571873038493043e+06
throughput: 38000 1.057287497337438e+06
throughput: 38100 1.0570961509870945e+06
throughput: 38200 1.057034831092193e+06
throughput: 38300 1.057115514261431e+06
throughput: 38400 1.0571565510972436e+06
throughput: 38500 1.05701754843738e+06
throughput: 38600 1.0570615207410268e+06
throughput: 38700 1.0571907587252595e+06
throughput: 38800 1.0571516936006274e+06
throughput: 38900 1.057126753827317e+06
throughput: 39000 1.0571381215598136e+06
throughput: 39100 1.0572805727438452e+06
throughput: 39200 1.0570897653208394e+06
throughput: 39300 1.0569695747822581e+06
throughput: 39400 1.0570930565539037e+06
throughput: 39500 1.057174704410694e+06
